cityName,countryName,cityid,lon,lat,maxTemp,humidity,cloud,windSpeed
Jamestown,AU,2069194,138.6,-33.21,62.7,51,80,20.51
Emerald,AU,2167426,148.16,-23.53,75.21,25,0,4.63
Nanortalik,GL,3421765,-45.24,60.14,36.69,94,0,5.97
Port Hedland,AU,2063042,118.58,-20.31,80.6,44,0,12.75
Angoche,MZ,1052944,39.91,-16.23,77.82,96,0,15.03
Velyka Bahachka,UA,690285,33.72,49.79,71.07,95,0,4.41
Castro,CL,3896218,-73.76,-42.48,44.34,100,88,4.97
Erenhot,CN,2037485,111.97,43.65,80.07,80,92,11.01
Punta Arenas,CL,3874787,-70.91,-53.16,41.0,75,75,27.51
Bonnyville,CA,5905616,-110.74,54.27,55.4,76,40,9.17
Guilin,CN,1809498,110.29,25.28,89.6,59,20,6.71
Santa Vitoria do Palmar,BR,3449747,-53.37,-33.52,45.69,98,64,10.22
Chokurdakh,RU,2126123,147.9,70.62,56.67,74,88,8.21
Rikitea,PF,4030556,-134.97,-23.12,74.67,99,12,17.83
Gotsu,JP,1863521,132.22,35.01,86.0,74,20,11.41
Kapaa,US,5848280,-159.32,22.08,80.6,88,90,17.22
Dikson,RU,1507390,80.55,73.51,38.85,100,20,9.22
Mount Gambier,AU,2156643,140.78,-37.83,52.71,95,92,12.8
Aykhal,RU,2027296,111.51,65.95,60.63,56,64,6.64
Namibe,AO,3347019,12.15,-15.19,65.58,100,8,11.23
Butaritari,KI,2110227,172.79,3.07,83.4,100,32,6.31
Bydgoszcz,PL,3102014,18.0,53.12,71.6,60,0,1.12
Busselton,AU,2075265,115.35,-33.64,63.15,100,92,26.22
Muros,ES,3115824,-9.06,42.77,62.6,93,0,8.05
Ushuaia,AR,3833367,-68.31,-54.81,41.0,60,20,25.28
Myrtle Beach,US,4588718,-78.89,33.7,80.6,74,1,19.46
Qaanaaq,GL,3831208,-69.36,77.48,32.82,100,80,4.41
Norman Wells,CA,6089245,-126.83,65.28,66.2,55,75,5.82
Palmer,AU,2067070,139.16,-34.85,57.2,87,75,18.34
Cape Town,ZA,3369157,18.42,-33.93,51.8,87,0,5.82
Constantine,DZ,2501152,6.61,36.36,73.4,69,75,4.7
Provideniya,RU,4031574,-173.23,64.42,53.6,81,90,4.47
Barrow,AR,3833859,-60.23,-38.31,34.89,77,0,13.02
Albany,US,5106834,-73.75,42.65,73.4,88,90,4.29
Xai-Xai,MZ,1024552,33.64,-25.04,69.0,100,20,10.67
Narsaq,GL,3421719,-46.05,60.91,44.6,81,0,4.7
Arlit,NE,2447513,7.39,18.74,79.53,48,0,5.64
Sur,OM,286245,59.53,22.57,90.15,81,0,3.29
Tiarei,PF,4033356,-149.33,-17.53,75.2,73,20,3.36
Nemuro,JP,2128975,145.57,43.32,69.8,56,20,13.87
Yellowknife,CA,6185377,-114.38,62.45,57.2,67,90,6.93
Ponta do Sol,BR,3453439,-46.0,-20.63,52.8,79,20,4.63
Longyearbyen,NO,2729907,15.63,78.22,48.2,81,75,4.7
Esna,RO,675840,27.57,45.2,70.44,96,56,4.74
Goderich,CA,5962442,-81.71,43.74,63.78,95,12,8.32
Bol,TD,2434979,14.72,13.47,82.77,71,0,6.76
Port Elizabeth,US,4501427,-74.98,39.31,78.8,88,90,10.29
Hobart,AU,2163355,147.33,-42.88,53.6,50,75,19.46
Cidreira,BR,3466165,-50.22,-30.17,55.32,95,92,6.64
Atuona,PF,4020109,-139.03,-9.8,79.26,100,100,14.58
Porrentruy,CH,2659171,7.08,47.42,62.6,88,0,3.4
Toro,CO,3666881,-76.08,4.61,66.2,88,20,11.41
Sorland,NO,3137469,12.69,67.67,57.2,100,75,24.16
Ketchikan,US,5554428,-131.65,55.34,57.2,87,1,5.82
Tiksi,RU,2015306,128.87,71.64,45.33,83,64,10.78
Ochamchira,GE,612652,41.47,42.71,76.65,95,48,0.94
Esperance,TT,3573739,-61.45,10.24,75.2,88,20,5.64
Yar-Sale,RU,1486321,70.83,66.83,69.9,59,12,7.43
Patacamaya,BO,3908339,-67.92,-17.23,24.99,83,8,1.95
Porto Seguro,BR,3452640,-39.06,-16.44,68.0,94,40,5.82
Ribeira Grande,PT,3372707,-28.7,38.52,69.8,88,40,5.82
Vaini,IN,1273574,74.49,15.34,71.97,99,92,8.99
Clyde River,CA,5924351,-68.59,70.47,44.6,75,90,11.41
Asansol,IN,1278314,86.98,23.69,77.19,100,92,16.26
Manzhouli,CN,2035836,117.43,49.6,76.38,47,0,12.01
Nikolskoye,RU,546105,30.79,59.7,69.8,94,90,2.24
Ende,ID,1644932,121.65,-8.84,79.17,97,8,10.45
East London,ZA,1006984,27.91,-33.02,66.2,32,0,10.29
La Ronge,CA,6050066,-105.3,55.1,62.6,82,90,13.87
Bethel,US,5880568,-161.76,60.79,60.8,82,90,5.82
Tubay,PH,1681232,125.52,9.17,85.83,84,88,8.21
Georgetown,GY,3378644,-58.16,6.8,75.2,94,40,2.24
Mozelos,PT,2735943,-8.56,41.0,64.4,93,75,11.41
Socorro,PH,1685936,121.41,13.06,79.35,96,92,3.96
Lermontovka,RU,2020824,134.34,47.15,83.58,83,8,3.96
Corumba,BR,3465342,-57.65,-19.0,61.08,91,24,1.61
Pochutla,MX,3517970,-96.47,15.74,84.03,100,0,7.31
Dicabisagan,PH,1715015,122.42,17.08,82.77,99,92,4.52
Ostersund,SE,2685750,14.64,63.18,62.6,72,0,13.87
Bluff,AU,2175403,149.07,-23.58,74.76,20,0,4.52
Torbay,CA,6167817,-52.73,47.66,60.8,100,90,20.8
Saronno,IT,6537086,9.04,45.63,71.6,88,0,1.12
Ossora,RU,2122389,163.07,59.24,59.1,84,0,15.26
Cordoba,CO,3686513,-73.79,5.59,48.48,91,64,2.62
Mahebourg,MU,934322,57.7,-20.41,69.8,83,40,11.41
Itabira,BR,3460960,-43.23,-19.62,49.56,87,12,2.73
Solwezi,ZM,897045,26.4,-12.18,51.9,72,0,12.8
Tay Ninh,VN,1566559,106.1,11.3,86.28,77,76,13.24
Karatuzskoye,RU,1504442,92.87,53.61,79.35,69,8,4.74
Codrington,AU,2160063,153.24,-28.95,60.72,70,80,3.74
Saint George,GR,262462,22.34,39.45,86.0,33,0,5.75
Bredasdorp,ZA,1015776,20.04,-34.53,42.8,87,0,4.7
Okha,RU,2122614,142.95,53.59,64.5,76,20,10.67
Faanui,PF,4034551,-151.75,-16.48,78.09,100,68,10.45
Kingisepp,RU,548602,28.61,59.38,75.57,75,8,3.62
Tuatapere,NZ,2180815,167.69,-46.13,43.98,100,88,9.44
Benito Juarez,MX,3991622,-111.57,28.64,92.13,31,20,7.65
Lagoa,PT,2267254,-8.45,37.14,64.4,88,0,3.36
Itarema,BR,3393692,-39.92,-2.92,78.09,85,80,14.14
Sayyan,YE,70979,44.32,15.17,68.01,68,32,3.96
Iqaluit,CA,5983720,-68.52,63.75,44.6,81,75,5.82
Lebu,ET,344979,38.73,8.96,59.0,87,75,3.36
Turbat,PK,1163054,63.05,26.0,94.29,57,24,4.52
Saint-Philippe,CA,6138908,-73.48,45.36,73.4,94,1,4.7
Srednekolymsk,RU,2121025,153.71,67.46,77.91,47,76,7.99
Hermanus,ZA,3366880,19.24,-34.42,69.27,33,0,9.66
Kaeo,NZ,2189343,173.78,-35.1,49.47,89,12,5.75
Hithadhoo,MV,1282256,73.08,-0.6,75.84,100,88,5.86
Mogadishu,SO,53654,45.34,2.04,80.6,78,75,13.87
Mopti,ML,2453348,-4.19,14.49,82.4,78,20,5.08
Neath,GB,2641843,-3.8,51.66,66.2,93,90,8.05
Hilo,US,5855927,-155.08,19.71,78.8,83,1,3.36
Carnarvon,ZA,1014034,22.13,-30.97,46.68,51,24,13.69
Abnub,EG,362973,31.15,27.27,78.8,57,0,11.41
Sao Filipe,CV,3374210,-24.5,14.9,75.03,100,20,9.22
Capiibary,PY,3439208,-56.03,-24.8,57.93,89,0,2.62
Tabou,CI,2281120,-7.36,4.42,77.01,100,76,7.2
Mataura,NZ,6201424,168.86,-46.19,41.73,89,64,8.21
Umm Lajj,SA,100926,37.27,25.02,85.56,77,0,2.95
Kaitangata,NZ,2208248,169.85,-46.28,42.81,95,92,11.12
Chengzihe,CN,2038080,131.0,45.35,88.35,76,0,3.51
Enshi,CN,1811720,109.48,30.29,88.08,47,36,3.74
Marzuq,YE,72181,46.47,14.4,80.61,40,32,8.66
Constitucion,MX,4011743,-104.67,23.99,71.7,48,100,4.97
Gryazovets,RU,558236,40.25,58.88,71.97,66,0,10.89
Uige,AO,2236568,15.06,-7.61,56.67,57,0,3.62
Palimbang,PH,1690039,120.78,14.9,80.6,94,90,4.7
Tibagi,BR,3446550,-50.41,-24.52,52.44,83,80,3.4
Arraial do Cabo,BR,3471451,-42.02,-22.97,67.56,100,44,2.73
Kyakhta,RU,2021066,106.45,50.35,76.92,64,0,4.18
Juli,PE,3937516,-69.46,-16.21,27.87,100,0,3.29
Harlingen,US,4696233,-97.7,26.19,82.4,88,1,11.41
Baluyot,PH,1695357,120.46,15.81,82.23,94,92,3.96
Puerto Ayora,EC,3652764,-90.35,-0.74,70.62,100,56,11.45
Outjo,NA,3353715,16.16,-20.11,46.95,62,0,8.66
Half Moon Bay,US,5354943,-122.43,37.46,71.6,87,90,4.7
Cherskiy,RU,2126199,161.3,68.75,65.13,43,44,8.21
Marrakesh,MA,2542997,-7.99,31.63,66.2,77,0,5.82
Sao Joao da Barra,BR,3448903,-41.05,-21.64,73.32,99,44,1.39
Port-Gentil,GA,2396518,8.78,-0.72,75.2,83,90,8.05
Alta,NO,847633,23.27,69.97,57.2,87,75,2.24
Katsuura,JP,1865309,134.5,33.93,96.8,53,20,6.93
Thunder Bay,CA,6166142,-89.26,48.41,59.0,93,20,3.36
Padang,ID,1633419,100.36,-0.92,82.23,100,56,11.56
Hamilton,BM,3573197,-64.78,32.3,77.0,88,40,6.93
Tasiilaq,GL,3424607,-37.64,65.61,41.0,80,0,2.24
Bahir Dar,ET,342884,37.39,11.59,58.02,100,92,4.29
Auki,NG,2339937,6.51,12.18,72.87,92,0,6.64
Fez,MA,2548885,-5.02,34.03,64.4,72,0,4.7
Dingle,PH,1714733,122.67,11.0,81.42,89,76,10.11
Port Alfred,ZA,964432,26.89,-33.59,68.82,60,0,13.47
Lasa,CY,146639,32.53,34.92,86.0,79,20,13.87
Avarua,CK,4035715,-159.78,-21.21,73.4,78,75,8.05
La Rioja,AR,3848950,-66.86,-29.41,40.38,85,80,1.72
Burnie,AU,2173125,145.91,-41.05,54.42,95,88,28.01
Xining,CN,1788852,101.77,36.62,53.07,100,92,3.74
Sandwick,GB,2640416,-2.89,54.57,62.6,93,88,6.93
Iskateley,RU,866062,53.15,67.68,73.05,50,0,11.79
Kongolo,CD,212360,27.0,-5.39,72.69,45,8,5.86
Gazli,UZ,1513990,63.45,40.13,100.86,21,0,12.46
Mitsamiouli,KM,921786,43.28,-11.38,78.8,65,20,4.7
Kuchinarai,TH,1609345,104.05,16.54,89.6,62,75,16.11
Tuktoyaktuk,CA,6170031,-133.03,69.44,66.2,72,20,6.93
Hualmay,PE,3939761,-77.61,-11.1,53.07,95,36,1.16
Poum,MK,787487,20.71,41.28,71.6,68,20,2.39
Fairbanks,US,5861897,-147.72,64.84,82.4,32,1,3.36
Upernavik,GL,3418910,-56.15,72.79,38.4,95,92,7.65
Souillac,FR,3026644,-0.6,45.6,64.4,88,0,3.18
Bam,IR,141736,58.36,29.11,98.43,10,0,7.65
Fortuna,ES,2517679,-1.13,38.18,75.2,88,0,3.36
Alice Springs,AU,2077895,133.88,-23.7,84.2,11,0,13.87
Belmonte,PT,8010472,-7.35,40.36,56.4,83,0,2.28
Alexandria,US,4314550,-92.44,31.31,84.2,74,1,3.36
Agadez,NE,2448085,7.99,16.97,84.2,66,0,6.93
Kruisfontein,ZA,986717,24.73,-34.0,69.18,51,8,14.36
